currency,scenario,option_tenor,swap_tenor,market_price,model_price
HKD,flatten,1.0,10.0,0.001619552299767148,0.001331827899301972
HKD,short_up,10.0,1.0,0.00023941361855718096,0.0003805521265132104
HKD,short_up,9.0,2.0,0.0005046779567188151,0.0006881148395701643
HKD,short_up,8.0,3.0,0.0007699787424264653,0.0008628991449061345
HKD,short_up,7.0,4.0,0.000985355051730399,0.000985353313535749
HKD,short_up,6.0,5.0,0.0011999002395479829,0.0010781999865030955
HKD,short_up,5.0,6.0,0.0013827361330785205,0.0011543183960222427
HKD,short_up,4.0,7.0,0.0014564273339668819,0.0014564274577786392
HKD,short_up,3.0,8.0,0.0015764814783274861,0.001518056489230268
HKD,short_up,2.0,9.0,0.0015115086998427878,0.0015497710727671297
HKD,short_up,1.0,10.0,0.0013848342460549383,0.0018002063901033337
HKD,short_down,10.0,1.0,0.0002395792095958115,0.0007509761901483976
HKD,short_down,9.0,2.0,0.0005770091549127608,0.0010707103024945029
HKD,short_down,8.0,3.0,0.000919651492281555,0.0012771704311784265
HKD,short_down,7.0,4.0,0.0011787113514511044,0.001409837281923498
HKD,short_down,6.0,5.0,0.0014139296860597938,0.0015083609673436878
HKD,short_down,5.0,6.0,0.0015909026183694957,0.0015909026196779213
HKD,short_down,4.0,7.0,0.0016806170169022525,0.001495677402136645
HKD,short_down,3.0,8.0,0.0017925671985552741,0.0015576561015747106
HKD,short_down,2.0,9.0,0.0016543703855385885,0.0015853141932532832
HKD,short_down,1.0,10.0,0.0014433788314219302,0.0012836409432961798
HKD,vol_shift,10.0,1.0,0.0002916441966642569,0.0004235182649028239
HKD,vol_shift,9.0,2.0,0.0006590410704991119,0.0007878617476242743
HKD,vol_shift,8.0,3.0,0.0010237770693116144,0.0011137961557858914
HKD,vol_shift,7.0,4.0,0.0013153964155218035,0.0013969364613503103
HKD,vol_shift,6.0,5.0,0.0015867346739808148,0.0016357056858359613
HKD,vol_shift,5.0,6.0,0.0018031229583195718,0.001824251186530274
HKD,vol_shift,4.0,7.0,0.0019081071354839715,0.0019081071112724206
HKD,vol_shift,3.0,8.0,0.002029849602104869,0.001942998287649338
HKD,vol_shift,2.0,9.0,0.0019088860251415376,0.0018426993762462663
HKD,vol_shift,1.0,10.0,0.0016769600141488925,0.001443259937836889
JPY,base,10.0,1.0,0.00014100722866984924,0.00018230228039609379
JPY,base,9.0,2.0,0.00032363170971042753,0.0003622567885823667
JPY,base,8.0,3.0,0.0004661676736510625,0.0004941224216854527
JPY,base,7.0,4.0,0.0006009713817199488,0.000600969082421194
JPY,base,6.0,5.0,0.0007412964348223496,0.0006862296764876216
JPY,base,5.0,6.0,0.0008305217876691768,0.0007511792166079144
JPY,base,4.0,7.0,0.0008931196490112486,0.0009039354430044973
JPY,base,3.0,8.0,0.0009271513162844938,0.0009271490561488676
JPY,base,2.0,9.0,0.0009343527538907422,0.0009074143199280318
JPY,base,1.0,10.0,0.0008070140919465605,0.0009400056350410658
JPY,up,10.0,1.0,0.00020361324625128868,0.00025594038869024895
JPY,up,9.0,2.0,0.000478453989020022,0.000511220662747883
JPY,up,8.0,3.0,0.0006991234864684201,0.0007240597299916017
JPY,up,7.0,4.0,0.0009103572353689514,0.0009103618536421301
JPY,up,6.0,5.0,0.0011324975809270984,0.0010694496195514413
JPY,up,5.0,6.0,0.001278809908673792,0.0011980324167868137
JPY,up,4.0,7.0,0.0013888282239154,0.0014031309714585723
JPY,up,3.0,8.0,0.0014543557644976742,0.0014543537654351305
JPY,up,2.0,9.0,0.0014763918584106794,0.001425218034865088
JPY,up,1.0,10.0,0.0012839096746112828,0.0013966682838794041
JPY,down,10.0,1.0,3.735086324080998e-05,4.9568996369790626e-05
JPY,down,9.0,2.0,7.532232178414881e-05,0.00010450987699915049
JPY,down,8.0,3.0,0.00010323374898854418,0.0001226861348156698
JPY,down,7.0,4.0,0.00013222080240810202,0.00013222079994070906
JPY,down,6.0,5.0,0.00016463597796534076,0.0001374070528668073
JPY,down,5.0,6.0,0.00018745113156773502,0.00014040138658032836
JPY,down,4.0,7.0,0.0002011311233011687,0.00020920291756579824
JPY,down,3.0,8.0,0.00021077250408966828,0.00021077197840905858
JPY,down,2.0,9.0,0.0002172593556961197,0.000210732377103062
JPY,down,1.0,10.0,0.00019269486766648907,0.00027817422583403253
JPY,steepener,10.0,1.0,0.00011432863227316844,0.00019392967473046352
JPY,steepener,9.0,2.0,0.00022835286191437204,0.0003440156027523239
JPY,steepener,8.0,3.0,0.0003124291630744584,0.0003831137734200733
JPY,steepener,7.0,4.0,0.00040181330241368247,0.0004018133371856365
JPY,steepener,6.0,5.0,0.000503768134437584,0.0004134555627564028
JPY,steepener,5.0,6.0,0.0005784414152249989,0.0004230138884543821
JPY,steepener,4.0,7.0,0.0006196234009800233,0.0006196237557450339
JPY,steepener,3.0,8.0,0.0006520562825815479,0.0006316415497516804
JPY,steepener,2.0,9.0,0.0006802328638130907,0.00064420349835016
JPY,steepener,1.0,10.0,0.0006122065831868663,0.0008796587190512627
JPY,flatten,10.0,1.0,0.00016964259977977276,0.000394855072544499
JPY,flatten,9.0,2.0,0.0004185713059308979,0.0006256745012903503
JPY,flatten,8.0,3.0,0.0006187347985229808,0.0008018074953922152
JPY,flatten,7.0,4.0,0.0008010663911397622,0.0009282796564701813
JPY,flatten,6.0,5.0,0.0009841361558365932,0.00102223518308357
JPY,flatten,5.0,6.0,0.0010934874224779955,0.0010934874224916638
JPY,flatten,4.0,7.0,0.0011815181588291028,0.001012644703224311
JPY,flatten,3.0,8.0,0.0012220466410740106,0.0010344555157798811
JPY,flatten,2.0,9.0,0.0012136305965948049,0.0010056363137018948
JPY,flatten,1.0,10.0,0.0010280047351293232,0.0007040404711263608
JPY,short_up,10.0,1.0,0.00014259226529070982,0.00024076114993767906
JPY,short_up,9.0,2.0,0.0002903721279775812,0.0004305770985541331
JPY,short_up,8.0,3.0,0.0004008233303418045,0.0004871842555358303
JPY,short_up,7.0,4.0,0.0005168117855915834,0.0005168117856156565
JPY,short_up,6.0,5.0,0.0006481505632604998,0.000536541497143932
JPY,short_up,5.0,6.0,0.0007439097835601743,0.0005532119096023659
JPY,short_up,4.0,7.0,0.0007987877849031648,0.0008032211995827082
JPY,short_up,3.0,8.0,0.0008413028831585019,0.0008241115067242377
JPY,short_up,2.0,9.0,0.0008770757970205574,0.0008456611011969489
JPY,short_up,1.0,10.0,0.000788827641594305,0.0011505665751316027
JPY,short_down,10.0,1.0,0.000139326832495485,0.0005985425629912462
JPY,short_down,9.0,2.0,0.0003580620978529413,0.000756721958842159
JPY,short_down,8.0,3.0,0.0005341426019952351,0.0008301112634436978
JPY,short_down,7.0,4.0,0.0006887393618791833,0.000868620918004424
JPY,short_down,6.0,5.0,0.000838501158325107,0.0008964019108205984
JPY,short_down,5.0,6.0,0.0009208034070678914,0.0009206686555019376
JPY,short_down,4.0,7.0,0.0009916318745721235,0.0008544823503854439
JPY,short_down,3.0,8.0,0.001016712386264537,0.0008762128993827925
JPY,short_down,2.0,9.0,0.000993734041728792,0.0008921331682548745
JPY,short_down,1.0,10.0,0.0008255994766321181,0.0007716404890200167
JPY,vol_shift,10.0,1.0,0.00017761774495225684,0.00022633608445350235
JPY,vol_shift,9.0,2.0,0.00040322149521734293,0.00044698299713792834
JPY,vol_shift,8.0,3.0,0.0005844496368175538,0.0006152645249970439
JPY,vol_shift,7.0,4.0,0.0007538616232895221,0.0007538623452987038
JPY,vol_shift,6.0,5.0,0.0009237000431951512,0.0008655947621482304
JPY,vol_shift,5.0,6.0,0.0010359939852023644,0.0009508338370251636
JPY,vol_shift,4.0,7.0,0.0011120783371956894,0.001121964414345122
JPY,vol_shift,3.0,8.0,0.0011488372646206988,0.0011488370085360143
JPY,vol_shift,2.0,9.0,0.0011432863667388525,0.0011180774914414356
JPY,vol_shift,1.0,10.0,0.0009756399958781823,0.0011213435681048875
